Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
Ticker,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,,,,
Date,,,,,,,,,
2020-03-25,623.0415649414062,629.4827600547864,591.6649973383165,595.3247808270072,17658,860.0738897595367,1014.3655883381879,1075.665082941256,1123.679694488816
2020-03-26,681.6467895507812,702.6783304444787,615.2339398158779,629.4826710231788,34303,843.080832596798,1001.3177923073092,1067.8627404978802,1119.2813571262486
2020-03-27,692.5286254882812,811.2032437490765,683.1596033265193,740.5937832937542,38123,828.7425271578917,989.208413216367,1060.4303817848188,1115.035061289055
2020-03-30,673.7416381835938,711.4618260382608,653.8812392944235,697.7986359634519,17460,813.9805377317681,976.8371671366505,1052.77317894123,1110.6440819546724
2020-03-31,716.0000610351562,722.1972705435103,676.9623707355071,706.5821944236505,17960,804.6490637606622,966.6082610150232,1046.1044043292286,1106.7172757763688
2020-04-01,704.093505859375,731.8590731165037,695.0660405894316,716.0000125071437,10373,795.0723439605396,956.3135647344095,1039.3319112902216,1102.7110691105281
2020-04-03,694.6755981445312,704.093463551826,678.2797822284796,701.7023934133479,7795,785.5107491209197,946.0532523191201,1032.507033802188,1098.6510146730554
2020-04-07,744.790283203125,833.6010197598354,666.1780945646111,695.8467600542251,63602,781.6326095097012,938.160586863591,1026.8096724041868,1095.130012369872
2020-04-08,743.4727783203125,780.6073682294691,724.1491340947532,730.9807296994206,33568,777.9983398726165,930.5257708422861,1021.1990408381695,1091.630935414155
2020-04-09,776.0691528320312,805.6401859008637,747.1812315648109,751.4754005374501,53656,777.8146077735132,924.4686485673741,1016.3449836499291,1088.491017179507
2020-04-13,765.9682006835938,795.2953110197433,739.7641768220843,776.8499798817667,26964,776.6863785268542,918.2529447287945,1011.3870275515858,1085.2818349258164
2020-04-15,766.3585205078125,795.2952270891325,756.3551141592546,765.968119847987,24161,775.7027730012313,912.2963006416973,1006.5349779071546,1082.1084686131994
2020-04-16,783.1448364257812,805.1523212944732,760.3565501375575,767.0905751969162,17833,776.4115409464265,907.2315373391124,1002.1114107491076,1079.1337061038719
2020-04-17,866.929443359375,878.3479789997284,790.9035818060248,805.1523140830844,110933,785.0322935571835,905.6510630653971,999.4345401077267,1077.0222209024341
2020-04-20,862.7327880859375,902.5512125457793,850.0455412023208,873.1753801265774,37356,792.43234065516,903.9679934583595,996.7275747211565,1074.8899877400809
2020-04-21,824.719970703125,853.607896491653,814.9117631912463,829.5508966617477,16187,795.5073530406805,900.860227860115,993.3214835524826,1072.4007338392157
2020-04-22,843.2139892578125,867.02700074412,805.2010318796513,823.0119755184882,29736,800.0508422042169,898.5995910521815,990.3490579228852,1070.1202687190028
2020-04-23,841.6036376953125,862.8303781581224,829.5507767075087,848.0936764221472,15318,804.008251298607,896.364455626422,987.4036040569927,1067.846471395384
2020-04-24,810.9591674804688,844.1899868410277,806.1282417695825,834.4305650278366,17107,804.6702433159272,893.0152286403062,983.9096548178536,1065.290378819116
2020-04-27,813.0086059570312,841.2133582591708,801.248514820945,814.9117050858576,16792,805.4643730912705,889.8777140252758,980.5254756324907,1062.7801124224784
2020-04-28,816.57080078125,834.4305300371091,811.0079186676463,828.5748771947434,20508,806.5221281093638,887.0029331137455,977.2788484077137,1060.3302685255508
